arm|regime|mix|in_flight|rep|main_api_skipped|doomed_calls|answers_lost|openings|peak_consecutive_failures|states|wall_ms
control|COMPARABLE|ALL_FIVE|1|8|0|20|0|0|1|{listenbrainz=CLOSED}|1040
control|COMPARABLE|ALL_FIVE|1|9|0|20|0|0|1|{listenbrainz=CLOSED}|1039
control|COMPARABLE|ALL_FIVE|1|10|0|20|0|0|1|{listenbrainz=CLOSED}|1043
control|COMPARABLE|ALL_FIVE|1|11|0|20|0|0|1|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|1|12|0|20|0|0|1|{listenbrainz=CLOSED}|1049
control|COMPARABLE|ALL_FIVE|1|13|0|20|0|0|1|{listenbrainz=CLOSED}|1044
control|COMPARABLE|ALL_FIVE|1|14|0|20|0|0|1|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|1|15|0|20|0|0|1|{listenbrainz=CLOSED}|1043
control|COMPARABLE|ALL_FIVE|1|16|0|20|0|0|1|{listenbrainz=CLOSED}|1039
control|COMPARABLE|ALL_FIVE|1|17|0|20|0|0|1|{listenbrainz=CLOSED}|1042
control|COMPARABLE|ALL_FIVE|1|18|0|20|0|0|1|{listenbrainz=CLOSED}|1043
control|COMPARABLE|ALL_FIVE|1|19|0|20|0|0|1|{listenbrainz=CLOSED}|1036
control|COMPARABLE|ALL_FIVE|4|0|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|4|1|0|20|0|0|3|{listenbrainz=CLOSED}|1036
control|COMPARABLE|ALL_FIVE|4|2|0|20|0|0|2|{listenbrainz=CLOSED}|1034
control|COMPARABLE|ALL_FIVE|4|3|0|20|0|0|2|{listenbrainz=CLOSED}|1038
control|COMPARABLE|ALL_FIVE|4|4|0|20|0|0|1|{listenbrainz=CLOSED}|1034
control|COMPARABLE|ALL_FIVE|4|5|0|20|0|0|2|{listenbrainz=CLOSED}|1036
control|COMPARABLE|ALL_FIVE|4|6|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|4|7|0|20|0|0|2|{listenbrainz=CLOSED}|1032
control|COMPARABLE|ALL_FIVE|4|8|0|20|0|0|3|{listenbrainz=CLOSED}|1038
control|COMPARABLE|ALL_FIVE|4|9|0|20|0|0|2|{listenbrainz=CLOSED}|1035
control|COMPARABLE|ALL_FIVE|4|10|0|20|0|0|2|{listenbrainz=CLOSED}|1035
control|COMPARABLE|ALL_FIVE|4|11|0|20|0|0|4|{listenbrainz=CLOSED}|1038
control|COMPARABLE|ALL_FIVE|4|12|0|20|0|0|2|{listenbrainz=CLOSED}|1033
control|COMPARABLE|ALL_FIVE|4|13|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|4|14|0|20|0|0|3|{listenbrainz=CLOSED}|1036
control|COMPARABLE|ALL_FIVE|4|15|0|20|0|0|2|{listenbrainz=CLOSED}|1033
control|COMPARABLE|ALL_FIVE|4|16|0|20|0|0|2|{listenbrainz=CLOSED}|1038
control|COMPARABLE|ALL_FIVE|4|17|0|20|0|0|2|{listenbrainz=CLOSED}|1035
control|COMPARABLE|ALL_FIVE|4|18|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|4|19|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|0|0|20|0|0|2|{listenbrainz=CLOSED}|1032
control|COMPARABLE|ALL_FIVE|20|1|0|20|0|0|2|{listenbrainz=CLOSED}|1035
control|COMPARABLE|ALL_FIVE|20|2|0|20|0|0|2|{listenbrainz=CLOSED}|1034
control|COMPARABLE|ALL_FIVE|20|3|0|20|0|0|2|{listenbrainz=CLOSED}|1032
control|COMPARABLE|ALL_FIVE|20|4|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|5|0|20|0|0|2|{listenbrainz=CLOSED}|1032
control|COMPARABLE|ALL_FIVE|20|6|0|20|0|0|2|{listenbrainz=CLOSED}|1038
control|COMPARABLE|ALL_FIVE|20|7|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|8|0|20|0|0|2|{listenbrainz=CLOSED}|1033
control|COMPARABLE|ALL_FIVE|20|9|0|20|0|0|2|{listenbrainz=CLOSED}|1036
control|COMPARABLE|ALL_FIVE|20|10|0|20|0|0|1|{listenbrainz=CLOSED}|1035
control|COMPARABLE|ALL_FIVE|20|11|0|20|0|0|2|{listenbrainz=CLOSED}|1034
control|COMPARABLE|ALL_FIVE|20|12|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|13|0|20|0|0|2|{listenbrainz=CLOSED}|1030
control|COMPARABLE|ALL_FIVE|20|14|0|20|0|0|2|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|15|0|20|0|0|1|{listenbrainz=CLOSED}|1034
control|COMPARABLE|ALL_FIVE|20|16|0|20|0|0|2|{listenbrainz=CLOSED}|1032
control|COMPARABLE|ALL_FIVE|20|17|0|20|0|0|3|{listenbrainz=CLOSED}|1037
control|COMPARABLE|ALL_FIVE|20|18|0|20|0|0|2|{listenbrainz=CLOSED}|1033
control|COMPARABLE|ALL_FIVE|20|19|0|20|0|0|2|{listenbrainz=CLOSED}|1035
control|COMPARABLE|SIMILAR_ONLY|1|0|0|5|0|1|5|{listenbrainz=OPEN}|57
control|COMPARABLE|SIMILAR_ONLY|1|1|0|5|0|1|5|{listenbrainz=OPEN}|55
control|COMPARABLE|SIMILAR_ONLY|1|2|0|5|0|1|5|{listenbrainz=OPEN}|55
